player,elo_global,elo_Hard,elo_Clay,elo_Grass
Jordan Thompson,1996.051633673422,1930.8380619410764,1548.744628945187,1675.975871498483
Cameron Norrie,1891.2274300661013,1831.6925551609263,1860.9523455746448,1630.8714429363442
Thanasi Kokkinakis,1978.1163923630525,1885.0025558742996,1761.9982538641434,1480.6966772357268
Hillel Rousseau,1411.0914117848893,1460.7996374413135,1446.8920078937026,
Lucas Gomez,1434.269220557774,1399.6743446974574,1449.5245363704155,
Petros Chrysochos,1533.060722947254,1522.234395994794,1503.467274212005,
Nerman Fatic,1574.672163586704,1526.6815801176992,1568.0445432821402,1478.6089841763544
Nicolas Jarry,1843.763422374205,1748.241424952632,1872.377213128433,1543.894199746605
Borna Coric,1769.1511782378411,1730.896679488659,1756.5275928245926,1533.4406525595316
Jason Jung,1648.6411554871363,1613.382635170575,1502.4812057316678,1513.8659838580468
Juan Ignacio Galarza,1505.4933571414656,1487.1088223515733,1509.3542217576298,
Constant Lestienne,1739.3101034047495,1701.9244477854563,1466.652085790857,1466.0045668691344
Brayden Schnur,1559.425099383392,1527.1746795076087,1501.5261923055998,1525.8174994176486
Calvin Hemery,1718.542556525621,1619.1334759851998,1653.3007604778588,1481.8759725753107
Cem Ilkel,1529.0312403255125,1535.0993636985015,1451.016326271446,1399.1435178597792
Alexey Vatutin,1605.620961437992,1573.694267627792,1528.282557743825,1461.8006604539726
Sanjar Fayziev,1389.4505007569485,1417.0552127695607,1392.5200643620494,1477.7490230269734
Duck Hee Lee,1502.6099224881573,1498.5638492683072,1434.4598567159262,1432.9920761808332
Quentin Halys,1902.125915896492,1794.1953185782666,1738.8323255888838,1636.6276030140234
Johan Sebastien Tatlot,1614.85263745818,1558.695179771161,1534.8513963336654,
Salvatore Caruso,1554.6789268263326,1605.9183410434855,1496.3527204486793,1526.5621979652567
Omar Jasika,1583.2911850436883,1591.6006623641672,1444.7444916358097,1430.578006519686
Stefan Kozlov,1638.6513285211772,1577.635284392847,1586.458919323625,1487.0557352823384
Kamil Majchrzak,1811.046935174586,1738.2942341325788,1762.3478538697889,1593.1916950248024
Daniel Elahi Galan,1725.9151642210747,1628.7339556772845,1688.1511105740426,1577.1486040954703
Blake Mott,1519.654174144254,1517.756915999491,1498.668285601378,1473.8987062632154
Nino Serdarusic,1538.2110211065449,1518.981844669166,1513.168483145509,1458.3123955410722
Dmitry Popko,1591.1551139918226,1531.6385747367435,1592.777081926094,1460.280054094752
Mackenzie Mcdonald,1847.016699793523,1818.3233882919544,1566.9625146477722,1562.3333541864602
Strong Kirchheimer,1529.6400362023708,1521.657159355774,1458.0177688235929,
Gage Brymer,1404.2268672494818,1395.0111103011536,,1480.4483917049272
Noah Rubin,1601.215591771526,1594.2752892671554,1556.6202681114692,1503.710130532007
Collin Altamirano,1461.0865499210763,1461.463953216118,1474.9180872352258,
Gianluca Mager,1606.7684976107878,1575.6739331777726,1586.1230208620673,1499.5406532415443
Enzo Couacaud,1676.3809356452518,1636.185588703688,1650.7888580217543,1552.8234116461565
Jelle Sels,1568.7756424348456,1566.587409280152,1554.7970265972344,1422.5113006678223
Laurent Lokoli,1630.8693758340248,1589.855817675117,1547.893321943855,1543.499215223013
Federico Coria,1742.8740112785615,1532.2142725065414,1728.3011359631255,1399.4163963129795
Laslo Djere,1847.5330949356144,1776.0246282135956,1783.3664670239934,1481.9020794557136
Peter Bertran,1422.4455282174374,1452.5863903207644,1447.586877146441,
Karen Khachanov,2044.9044328550845,1975.1862788275769,1925.804566151699,1629.8021732150603
Pawel Cias,1492.6192317588673,1490.9868994832682,1482.2554850803456,
Pedro Sakamoto,1543.8865418329494,1503.5552765741645,1536.7099123045848,
Aoran Wang,1441.8976571822047,1435.894787686999,,
Gonzalo Villanueva,1595.805659974495,1451.0218099984395,1589.5837384052206,
Pedro Cachin,1643.2983660312575,1483.0341745869468,1667.4112266148566,1437.989224907795
Marcelo Zormann Da Silva,1403.906576831241,1496.557836062154,1393.2388473024414,
Andrey Rublev,1952.9652934782384,1890.5159750815344,1929.8987339626196,1669.894309067107
Daniil Medvedev,2123.764172513245,2055.521806321836,1915.405497719584,1773.3529451491088
Boris Pokotilov,1473.1820147156864,1472.4179987933803,1499.556505179438,
Young Seok Kim,1404.255829532286,1396.8923597999392,1487.148589563032,
Juan Pablo Varillas,1649.093343703408,1502.2253147554632,1644.8327317950875,1440.518344843517
Nicolas Kicker,1592.59966363502,1549.23367020272,1609.2365093035778,1448.706165822606
Sasi Kumar Mukund,1512.656215141367,1491.3746111828575,1447.2508389354855,1470.3526379106038
Sumit Nagal,1706.7754621399731,1609.5167803691147,1745.9950175603196,1463.2588595471018
Alexander Klintcharov,1443.280787067726,1438.4958113999774,,
Marc Polmans,1621.5677121796389,1604.308278060846,1545.923180197071,1511.6433949653565
